['0.00', '3.30', '0.00', '3.30', '1.77', '1.02', '0.71']
['0.03', '3.30', '0.00', '0.00', '0.59', '0.55', '0.55']
['3.30', '1.83', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.56', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.58', '0.54', '0.56']
['3.30', '1.64', '3.30', '0.00', '0.25', '0.45', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.56', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.77', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.57', '0.55', '0.55']
['3.30', '1.65', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.58', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.77', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.58', '0.55', '0.54']
['3.30', '2.91', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.56', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.51', '0.53', '0.54']
['3.30', '2.79', '3.30', '0.00', '0.26', '0.45', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.54', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.71', '1.00', '0.70']
['0.29', '3.30', '0.00', '0.00', '0.48', '0.52', '0.55']
['3.30', '1.42', '3.30', '0.00', '0.25', '0.45', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.55', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.00', '0.70']
['0.14', '3.30', '0.00', '0.00', '0.50', '0.53', '0.55']
['3.30', '1.70', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.58', '0.96', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.01', '0.70']
['0.46', '3.30', '0.00', '0.00', '0.49', '0.53', '0.54']
['3.30', '0.00', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.57', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.70']
['0.28', '3.30', '0.00', '0.00', '0.51', '0.54', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.59', '0.96', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.01', '0.71']
['0.50', '3.30', '0.00', '0.00', '0.53', '0.52', '0.55']
['3.30', '1.86', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.60', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.01', '0.70']
['0.47', '3.30', '0.00', '0.00', '0.50', '0.53', '0.54']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.57', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.01', '0.70']
['0.72', '3.30', '0.00', '0.00', '0.51', '0.53', '0.55']
['3.30', '2.58', '3.30', '0.00', '0.26', '0.46', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.62', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.78', '1.02', '0.70']
['0.76', '3.30', '0.00', '0.00', '0.47', '0.52', '0.55']
['3.30', '0.53', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.56', '0.94', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.00', '0.70']
['0.94', '3.30', '0.00', '0.00', '0.48', '0.53', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.61', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.02', '0.71']
['0.81', '3.30', '0.00', '0.00', '0.45', '0.52', '0.55']
['3.30', '0.76', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.58', '0.95', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.70']
['0.58', '3.30', '0.00', '0.00', '0.45', '0.52', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.59', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.71', '1.00', '0.70']
['0.84', '3.30', '0.00', '0.00', '0.41', '0.50', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.52']
['0.00', '3.30', '3.30', '3.30', '1.58', '0.93', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.01', '0.71']
['0.70', '3.30', '0.00', '0.00', '0.44', '0.53', '0.55']
['3.30', '1.38', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.56', '0.92', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.71']
