1843,971,722,89,1462,1079,2368
2597,1235,814,125,1275,951,2060
2882,1357,850,128,1341,1047,2484
2741,1365,886,144,1530,1229,3095
1998,1103,793,113,1789,1467,4095
1708,978,768,126,1790,1443,3915
1750,921,709,87,1559,1174,2784
2193,1077,745,87,1310,955,2017
2736,1285,819,112,1286,974,2154
2903,1381,869,143,1362,1090,2672
2352,1228,843,139,1728,1427,4095
1844,1037,778,128,1856,1501,4095
1707,978,753,114,1799,1393,3506
1904,987,732,97,1391,1031,2241
2538,1226,815,123,1254,934,1980
2864,1345,838,117,1312,1017,2399
2861,1392,887,150,1477,1180,2909
1971,1076,781,113,1725,1440,4095
1711,972,751,126,1824,1466,4095
1728,940,718,90,1627,1227,2946
2091,1039,732,87,1343,978,2032
2753,1291,821,113,1271,972,2205
2831,1354,848,128,1362,1076,2608
2427,1243,838,143,1690,1374,3916
1829,1022,761,115,1842,1493,4095
1699,960,751,118,1712,1345,3373
1829,954,713,89,1429,1062,2356
2437,1165,781,111,1271,943,1974
2816,1306,819,115,1305,1008,2356
2737,1356,890,171,1478,1202,3018
2023,1102,793,128,1771,1463,4095
1703,969,752,129,1860,1490,4095
1707,943,733,109,1702,1299,3098
2149,1071,752,97,1317,965,2041
2702,1271,816,114,1278,971,2181
2883,1349,841,124,1365,1082,2592
2531,1274,847,139,1649,1329,3646
1783,1014,771,114,1792,1474,4095
1691,960,750,114,1771,1381,3551
1777,915,691,78,1489,1107,2519
2352,1136,770,115,1306,960,2002
2841,1309,845,144,1317,1027,2420
2789,1377,886,160,1475,1182,2896
2106,1133,807,129,1781,1471,4095
1709,978,752,125,1874,1510,4095
1714,959,745,118,1623,1250,2995
2082,1042,750,112,1349,992,2106
2659,1254,809,122,1283,969,2134
2893,1349,838,118,1355,1062,2525
2866,1513,1055,277,971,941,2421
2791,1487,1029,217,1269,1127,2966
2102,1206,907,162,1644,1407,4095
1717,1051,842,144,1703,1415,3987
1744,977,769,94,1509,1167,2849
2142,1097,787,106,1267,942,2015
2699,1297,848,124,1231,942,2125
2858,1386,889,144,1322,1067,2636
2368,1248,863,144,1680,1392,4095
1802,1041,793,133,1822,1486,4095
1693,974,764,117,1789,1401,3600
1851,980,743,103,1399,1053,2319
2475,1210,813,125,1251,935,1984
2834,1328,838,122,1296,1008,2384
2801,1389,887,154,1449,1159,2829
